Country;Continent;Adolescent fertility rate (births per 1000 women ages 15-19);Agricultural land (sq. km);Aid per capita (current US$);Air transport passengers carried;Arable land (hectares);Birth rate crude (per 1000 people);Death rate crude (per 1000 people);Fertility rate total (births per woman);Forest area (sq. km);GDP (constant 2000 US$);Health expenditure per capita (current US$);Immunization DPT (% of children ages 12-23 months);Inflation consumer prices (annual %);Internet users (per 100 people);Land area (sq. km);Life expectancy at birth female (years);Life expectancy at birth male (years);Life expectancy at birth total (years);Military expenditure (% of GDP);Mortality rate adult female (per 1000 female adults);Mortality rate adult male (per 1000 male adults);Mortality rate infant (per 1000 live births);Personal computers (per 100 people);Population growth (annual %);Population total;Population female (% of total);Prevalence of HIV total (% of population ages 15-49);Ratio of female to male primary enrollment;Ratio of female to male secondary enrollment;Surface area (sq. km)
Afghanistan;Asia;.;380480;.;.;7910000;.;.;.;8670;.;20;76;.;1;652090;.;.;.;10;.;.;.;0;.;.;.;0;59;33;652090
Albania;Europe;16;11230;101;195702;578000;17;6;2;7940;4793518592;169;98;2;6;27400;79;73;76;1;52;109;16;2;1;3153731;50;0;.;.;28750
Algeria;Middle East & North Africa;8;411500;11;3037298;7450000;21;5;2;22770;6.97E+10;108;88;2;6;2381740;73;70;72;3;107;125;34;1;1;32854159;49;0;93;108;2381740
AmericanSamoa;Pacific;.;50;.;.;2000;.;.;.;180;.;.;.;.;.;200;.;.;.;.;.;.;.;.;2;58300;.;.;.;.;200
Andorra;Europe;.;260;.;.;1000;.;.;.;160;.;2556;98;.;33;470;.;.;.;.;.;.;3;.;0;66200;.;.;95;112;470
Angola;Sub-Saharan Africa;140;575900;27;239795;3300000;48;21;7;591040;1.49E+10;36;47;25;1;1246700;44;40;42;5;439;492;154;1;3;16095214;51;4;.;.;1246700
AntiguaandBarbuda;Latin America & Caribbean;.;140;94;778260;8000;.;.;.;90;804826688;503;99;.;35;440;.;.;.;.;.;.;10;15;1;83039;.;.;.;.;440
Argentina;Latin America & Caribbean;58;1293550;3;6938436;28500000;18;8;2;330210;3.14E+11;484;92;10;18;2736690;79;71;75;1;82;171;14;9;1;38747148;51;1;.;.;2780400
Armenia;Middle East & North Africa;30;13900;64;555795;495000;12;9;1;2830;3402389504;88;90;1;5;28200;75;68;71;3;89;198;23;10;0;3017661;53;0;104;103;29800
Aruba;Latin America & Caribbean;25;20;.;.;2000;.;.;.;.;.;.;.;3;24;180;.;.;.;.;78;139;.;8;1;100300;52;.;97;103;180
Australia;Pacific;15;4451490;.;44657324;49402000;13;6;2;1636780;4.70E+11;3181;92;3;70;7682300;83;78;81;2;.;.;5;76;1;20399836;50;0;100;96;7741220
Austria;Europe;12;32630;.;8037890;1387000;10;9;1;38620;2.08E+11;3788;86;2;49;82450;82;77;79;1;55;111;4;61;1;8233300;50;0;100;95;83870
Azerbaijan;Middle East & North Africa;29;47586;27;1134300;1843200;17;6;2;9360;9911157760;62;93;12;8;82660;75;70;72;2;104;219;74;2;1;8391850;51;0;98;97;86600
Bahamas;Latin America & Caribbean;54;140;.;1020000;8000;17;6;2;5150;.;1224;93;2;32;10010;75;70;72;1;161;232;13;12;1;323295;51;3;100;100;13880
Bahrain;Middle East & North Africa;18;100;.;.;2000;18;3;2;.;1.07E+10;710;98;3;21;710;77;74;75;3;74;106;9;18;2;724788;43;0;99;105;710
Bangladesh;Asia;134;90110;9;1634473;7951000;26;8;3;8710;6.14E+10;12;88;7;0;130170;64;62;63;1;207;239;54;1;2;153281120;49;0;.;.;144000
Barbados;Latin America & Caribbean;42;190;-7;.;16000;11;7;2;20;.;725;92;6;55;430;79;74;77;.;62;114;11;14;0;291933;51;2;100;100;430
Belarus;Europe;23;88600;6;281877;5455000;9;15;1;78940;1.83E+10;204;99;10;35;207480;74;63;68;1;128;368;12;1;0;9775591;53;0;97;102;207600
Belgium;Europe;8;13860;.;3340509;844000;11;10;2;6670;2.49E+11;3451;97;3;46;30230;82;77;79;1;62;114;4;38;1;10478650;50;0;100;97;30530
Belize;Latin America & Caribbean;84;1520;41;.;70000;28;5;3;16530;1082180096;198;96;4;9;22810;74;69;72;.;74;147;15;14;3;291800;49;2;96;102;22970
Benin;Sub-Saharan Africa;127;35670;41;.;2750000;41;12;6;23510;2727160320;28;93;5;5;110620;57;55;56;.;243;295;89;0;3;8490301;50;2;80;57;112620
Bermuda;Latin America & Caribbean;.;10;.;.;1000;13;7;2;10;.;.;.;.;66;50;81;76;79;.;.;.;.;.;0;63570;.;.;103;109;50
Bhutan;Asia;42;5920;141;49092;159000;20;7;2;31950;649771200;52;95;5;4;47000;67;63;65;.;178;228;65;2;2;637013;47;0;97;88;47000
Bolivia;Latin America & Caribbean;81;377680;69;1892343;3050000;29;8;4;587400;9742456832;71;81;5;5;1084380;67;63;65;2;180;240;52;2;2;9182015;50;0;.;.;1098580
BosniaandHerzegovina;Europe;21;21470;141;.;1000000;9;9;1;21850;6798370816;243;93;.;21;51200;77;72;74;2;78;150;13;5;0;3915238;51;0;.;.;51210
Botswana;Sub-Saharan Africa;56;259800;26;229987;377000;25;15;3;119430;8045992960;362;97;9;3;566730;49;49;49;3;583;604;87;5;1;1835938;50;24;98;105;581730
Brazil;Latin America & Caribbean;89;2636000;1;37661733;59000000;20;6;2;4776980;7.38E+11;371;96;7;17;8459420;76;68;72;1;125;238;20;16;1;186830759;50;1;.;.;8514880
BruneiDarussalam;Asia;29;250;.;977516;14000;22;3;2;2780;6649483264;519;99;1;36;5270;79;75;77;3;66;91;8;9;2;373831;48;0;100;104;5770
Bulgaria;Europe;42;52650;.;653703;3173000;9;15;1;36250;1.63E+10;272;96;5;21;108640;76;69;73;2;92;221;12;6;-1;7740000;51;0;99;96;111000
BurkinaFaso;Sub-Saharan Africa;133;109000;49;66273;4840000;45;15;6;67940;3529520128;27;96;6;0;273600;53;50;52;1;191;292;121;0;3;13933363;50;2;80;71;274000
Burundi;Sub-Saharan Africa;55;23260;46;.;971000;46;16;7;1520;789697344;3;74;14;1;25680;50;47;49;6;384;420;109;1;4;7858791;51;3;86;74;27830
Cambodia;Asia;45;53560;39;168810;3700000;27;9;3;104470;5697206272;29;82;6;0;176520;61;56;58;2;253;372;67;0;2;13955507;51;2;89;.;181040
Cameroon;Sub-Saharan Africa;125;91600;23;384059;5960000;36;15;5;212450;1.21E+10;49;80;2;1;465400;51;50;50;1;420;419;87;1;2;17795149;50;5;85;80;475440
Canada;North America;14;675000;.;45229860;45660000;10;7;2;3101340;8.22E+11;3430;94;2;68;9093510;83;78;80;1;.;.;5;88;1;32312000;50;0;.;.;9984670
CapeVerde;Sub-Saharan Africa;87;740;320;690000;46000;30;5;4;840;680688576;114;73;0;6;4030;74;68;71;.;104;180;26;11;2;506807;52;.;95;107;4030
CaymanIslands;Latin America & Caribbean;.;30;.;.;1000;.;.;.;120;.;.;.;.;44;260;.;.;.;.;.;.;.;.;2;45000;.;.;89;92;260
CentralAfricanRepublic;Sub-Saharan Africa;122;52200;23;.;1930000;37;19;5;227550;914782976;13;40;3;0;623000;46;43;44;1;539;573;115;0;2;4191429;51;11;69;.;623000
Chad;Sub-Saharan Africa;174;492300;38;.;4200000;46;16;6;119210;2776428800;22;20;8;0;1259200;52;49;51;1;298;349;124;0;3;10145609;50;4;68;33;1284000
ChannelIslands;Europe;11;76;.;.;3800;10;10;1;10;.;.;.;.;.;190;81;76;79;.;43;81;.;.;0;148622;50;.;.;.;190
Chile;Latin America & Caribbean;60;152450;9;5939020;1950000;15;5;2;161210;9.32E+10;397;91;3;28;748800;81;75;78;4;63;132;8;14;1;16295102;50;0;96;101;756630
China;Asia;6;5563280;1;136721623;143296000;12;7;2;1972900;1.89E+12;81;87;2;9;9327488;74;70;72;2;94;155;21;4;1;1304500000;48;0;.;.;9598088
Colombia;Latin America & Caribbean;69;425570;14;9984424;2004000;20;6;2;607280;9.88E+10;201;87;5;11;1109500;76;69;72;4;99;209;17;4;1;44945790;51;1;98;111;1141750
Comoros;Indian Ocean;53;1480;41;.;80000;34;7;4;50;231517984;14;80;.;3;1861;64;61;63;.;183;242;53;1;2;600490;50;0;88;76;1861
CongoDem.Rep.;Sub-Saharan Africa;225;228000;31;.;6700000;44;19;6;1336100;5238602752;5;73;21;0;2267050;47;45;46;0;403;443;129;0;3;58740547;50;3;.;.;2344860
CongoRep.;Sub-Saharan Africa;120;105450;400;.;495000;36;12;5;224710;3975486720;31;65;5;1;341500;56;53;54;1;387;414;79;1;2;3609851;50;5;92;.;342000
CostaRica;Latin America & Caribbean;74;28950;7;953217;225000;18;4;2;23910;1.95E+10;327;91;14;21;51060;81;76;79;.;63;117;11;23;2;4327228;49;0;99;106;51100
Coted'Ivoire;Sub-Saharan Africa;117;203000;6;.;3500000;36;16;5;104050;1.04E+10;34;56;4;1;318000;49;47;48;.;412;437;90;2;2;18584701;49;7;.;.;322460
Croatia;Europe;14;26950;29;1360515;1110000;10;12;1;21350;2.33E+10;651;96;3;33;55920;79;72;75;2;63;163;6;20;0;4443350;51;0;.;.;56540
Cuba;Latin America & Caribbean;48;65970;8;812781;3665000;11;8;2;27130;.;310;99;.;2;109820;80;76;78;.;76;120;5;3;0;11259905;49;0;97;101;110860
Cyprus;Europe;8;1650;.;1920516;120000;11;7;1;1740;1.09E+10;1350;98;3;43;9240;82;77;79;1;42;86;4;37;2;757800;51;0;100;102;9250
CzechRepublic;Europe;11;42590;.;4706226;3047000;10;11;1;26480;6.83E+10;868;97;2;27;77260;79;73;76;2;61;144;3;27;0;10234092;51;0;99;102;78870
Denmark;Europe;6;25890;.;551345;2237000;12;10;2;5000;1.71E+11;4350;93;2;53;42430;80;76;78;1;69;111;4;70;0;5415978;50;0;100;103;43090
Djibouti;Middle East & North Africa;25;17010;95;.;1000;30;12;4;60;638120000;54;71;.;1;23180;56;53;54;.;327;366;88;2;2;804206;50;3;82;66;23200
Dominica;Latin America & Caribbean;.;230;290;.;5000;.;.;.;460;331210880;288;98;2;36;750;.;.;.;.;.;.;13;.;1;72000;.;.;102;100;750
DominicanRepublic;Latin America & Caribbean;110;34200;8;.;820000;24;6;3;13760;2.34E+10;197;79;4;16;48380;75;69;72;1;137;226;26;2;2;9469601;50;1;95;119;48730
Ecuador;Latin America & Caribbean;83;75520;17;2011004;1348000;22;5;3;108530;2.08E+10;147;94;2;7;276840;78;72;75;2;92;172;22;7;1;13060993;50;0;100;101;283560
Egypt;Middle East & North Africa;43;35200;14;4888146;3000000;25;6;3;670;1.20E+11;78;98;5;7;995450;73;69;71;3;97;162;30;4;2;72849793;50;0;94;92;1001450
ElSalvador;Latin America & Caribbean;83;17040;30;2540564;660000;24;6;3;2980;1.47E+10;177;89;5;10;20720;74;68;71;1;129;211;23;5;1;6668356;51;1;96;102;21040
EquatorialGuinea;Sub-Saharan Africa;125;3240;80;.;130000;39;15;5;16320;3920161280;211;33;.;1;28050;52;49;51;.;354;389;123;2;2;484098;50;3;95;.;28050
Eritrea;Sub-Saharan Africa;78;76070;78;.;637000;40;10;5;15540;756572800;8;97;.;2;101000;59;54;57;.;333;442;50;1;4;4526722;51;2;80;59;117600
Estonia;Europe;22;8340;.;577808;591000;11;13;2;22840;8360443904;516;96;4;51;42390;78;67;73;1;100;282;6;48;0;1346100;54;1;97;101;45230
Ethiopia;Sub-Saharan Africa;100;339220;25;1667316;13115000;39;14;5;130000;1.04E+10;6;69;12;0;1000000;53;51;52;3;334;373;80;0;3;75173000;50;1;83;59;1104300
FaeroeIslands;Europe;.;30;.;.;3000;.;.;.;.;.;.;.;.;68;1400;.;.;.;.;.;.;.;.;0;48300;.;.;.;.;1400
Fiji;Pacific;36;4600;77;870571;200000;22;7;3;10000;1900971648;148;75;2;8;18270;71;66;68;.;157;236;16;6;1;828046;49;0;98;107;18270
Finland;Europe;10;22660;.;7075195;2234000;11;9;2;225000;1.38E+11;2824;97;1;53;304590;82;76;79;1;63;138;3;50;0;5246100;50;0;99;104;338150
France;Europe;7;295690;.;52477178;18507000;13;9;2;155540;1.44E+12;3807;98;2;43;550100;84;77;80;2;57;127;4;57;1;60873000;51;0;99;101;551500
FrenchPolynesia;Pacific;38;450;.;.;3000;19;5;2;1050;.;.;.;.;22;3660;76;71;74;.;98;158;.;11;1;255632;49;.;.;.;4000
Gabon;Sub-Saharan Africa;88;51600;41;465343;325000;27;12;3;217750;5523001856;276;38;0;5;257670;57;56;57;1;365;376;60;3;2;1290693;50;8;.;.;267670
Gambia;Sub-Saharan Africa;107;8140;38;.;350000;36;11;5;4710;508515360;15;88;3;4;10000;60;58;59;.;179;224;86;2;3;1617029;50;2;.;.;11300
Georgia;Europe;32;30060;69;249131;802000;11;12;1;27600;4356575744;123;84;8;6;69490;75;67;71;4;82;216;29;5;-1;4473409;52;0;100;99;69700
Germany;Europe;10;170300;.;90788848;11903000;8;10;1;110760;1.96E+12;3628;90;2;43;348770;82;76;79;1;.;.;4;61;0;82469400;51;0;100;98;357050
Ghana;Sub-Saharan Africa;61;147350;50;.;4185000;31;10;4;55170;6364078592;30;84;15;2;227540;60;59;59;1;285;292;75;1;2;22535010;49;2;96;85;238540
Greece;Europe;9;83590;.;9452219;2627000;9;9;1;37520;1.78E+11;2580;88;4;18;128900;82;77;79;3;43;94;4;9;0;11104000;50;0;99;98;131960
Greenland;Europe;.;2350;.;.;.;.;.;.;.;.;.;.;.;.;410450;.;.;.;.;.;.;.;.;0;56935;.;.;.;.;410450
Grenada;Latin America & Caribbean;46;130;495;.;2000;21;.;.;40;449579872;342;99;3;.;340;.;.;.;.;148;192;17;.;1;106500;51;.;96;103;340
Guam;Pacific;53;200;.;.;2000;19;5;3;260;.;.;.;.;39;540;78;73;75;.;66;128;.;.;2;168570;49;.;.;.;540
Guatemala;Latin America & Caribbean;110;46520;20;.;1440000;34;6;4;39380;2.19E+10;132;81;8;8;108430;73;66;70;0;132;239;32;2;2;12709564;51;1;92;91;108890
Guinea;Sub-Saharan Africa;157;125700;22;.;1200000;41;13;6;67240;3621396480;21;68;.;1;245720;57;53;55;.;238;279;100;0;2;9002656;49;2;82;51;245860
Guinea-Bissau;Sub-Saharan Africa;192;16300;50;.;300000;50;19;7;20720;213417600;10;80;3;2;28120;48;44;46;4;392;446;121;0;3;1596929;51;4;.;.;36120
Guyana;Latin America & Caribbean;66;17400;187;.;480000;19;9;2;151040;736121408;60;93;7;22;196850;69;63;66;.;193;266;47;4;0;739472;49;2;99;99;214970
Haiti;Latin America & Caribbean;49;15900;54;.;780000;29;10;4;1050;3744341504;28;53;16;6;27560;62;58;60;.;253;312;63;0;2;9296291;50;4;.;.;27750
Honduras;Latin America & Caribbean;97;29360;99;.;1068000;29;6;3;46480;7100086784;91;91;9;4;111890;73;66;70;1;143;252;24;2;2;6834110;50;2;99;130;112090
HongKong;Asia;5;.;.;20229512;.;8;6;1;.;2.07E+11;.;.;1;52;1042;84;79;82;.;34;80;.;61;0;6813200;51;.;.;101;1092
Hungary;Europe;20;58640;.;2735214;4600000;10;14;1;19760;5.92E+10;855;99;4;30;89610;77;69;73;1;107;256;6;15;0;10087050;52;0;98;99;93030
Iceland;Europe;16;22810;.;1528929;7000;14;6;2;460;1.07E+10;5154;95;4;62;100250;83;79;81;0;49;69;2;48;2;296750;49;0;97;102;103000
India;Asia;65;1801800;2;27879461;159650000;24;8;3;677010;6.44E+11;36;55;4;5;2973190;66;63;64;3;171;262;59;2;1;1094583000;48;1;98;82;3287260
Indonesia;Asia;43;478000;11;26835524;23000000;20;7;2;884950;2.08E+11;26;70;10;7;1811570;70;66;68;1;128;177;28;1;1;220558000;50;0;97;99;1904570
Iran;Middle East & North Africa;22;476310;2;12708354;16533000;18;5;2;110750;1.33E+11;212;95;13;11;1628550;72;69;70;5;107;158;31;13;1;69087070;49;0;122;94;1745150
Iraq;Middle East & North Africa;.;100100;.;.;5750000;.;.;.;8220;.;59;60;.;.;437370;.;.;.;.;.;.;.;.;.;.;.;0;83;66;438320
Ireland;Europe;17;42270;.;42872544;1215000;15;6;2;6690;1.24E+11;3993;90;2;34;68890;82;77;79;1;53;92;4;53;2;4159100;50;0;100;109;70270
IsleofMan;Europe;.;265;.;.;7500;12;10;.;30;2066399872;.;.;.;.;570;.;.;.;.;.;.;.;.;1;76073;.;.;.;.;570
Israel;Middle East & North Africa;15;5170;.;4392448;317000;21;6;3;1710;1.33E+11;1533;95;1;24;21640;82;78;80;10;40;84;4;122;2;6923600;50;0;101;99;22070
Italy;Europe;7;146940;.;36115764;7744000;10;10;1;99790;1.14E+12;2692;96;2;48;294110;83;78;80;2;.;.;4;37;1;58607050;51;0;99;99;301340
Jamaica;Latin America & Caribbean;82;5130;15;1573785;174000;17;6;2;3390;8735988736;170;88;15;46;10830;73;69;71;1;141;223;26;7;0;2654500;50;2;100;103;10990
Japan;Asia;3;46920;.;102279015;4360000;8;9;1;248680;4.98E+12;2936;99;0;67;364500;86;79;82;1;45;93;3;68;0;127773000;50;0;100;100;377910
Jordan;Middle East & North Africa;26;10120;123;1737165;184000;28;3;3;830;1.14E+10;241;95;3;13;88240;74;71;72;5;120;171;22;7;2;5411500;48;0;100;102;88780
Kazakhstan;Asia;30;2075980;15;1160286;22364000;18;10;2;33370;3.00E+10;148;98;8;4;2699700;72;60;66;1;151;377;27;.;1;15147050;52;0;100;98;2724900
Kenya;Sub-Saharan Africa;104;270210;22;2424382;5264000;39;12;5;35220;1.52E+10;24;76;10;3;569140;54;52;53;2;421;447;79;1;3;35598952;50;6;96;95;580370
Kiribati;Pacific;.;370;281;.;2000;.;.;.;20;51859948;118;79;.;2;810;.;.;.;.;.;.;48;.;1;99000;.;.;101;114;810
NorthKorea;Asia;1;30500;4;101313;2800000;14;10;2;61870;.;.;79;.;.;120410;69;65;67;.;130;186;42;.;0;23615611;51;0;.;.;120540
SouthKorea;Asia;4;18810;.;33888328;1624000;9;5;1;62650;6.39E+11;973;96;3;68;98730;82;75;78;3;48;120;5;53;0;48294143;50;0;95;96;99260
